#Wavenumber (cm^-1);  Spectrum at 300.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.029571715; 0.060205460359455
2.04; 0.030154894; 0.12159822189116
4.07; 0.03183881; 0.1864192908023
6.11; 0.034441121; 0.25653844047648
8.14; 0.037702215; 0.33329689701488
10.18; 0.041338641; 0.41745880315482
12.22; 0.045096228; 0.50927083223877
14.25; 0.048789758; 0.60860256845094
16.29; 0.052321041; 0.71512369172487
18.32; 0.055674225; 0.82847160913413
20.36; 0.058893665; 0.94837402872792
22.40; 0.06205367; 1.0747099449567
24.43; 0.065229921; 1.207512434434
26.47; 0.068479633; 1.346931057265
28.50; 0.071833027; 1.4931769013696
30.54; 0.075294282; 1.6464695604457
32.57; 0.078847357; 1.8069959754075
34.61; 0.082461748; 1.97488097858
36.65; 0.086094963; 2.1501628935335
38.68; 0.089691402; 2.332766848274
40.72; 0.093179868; 2.5224730185948
42.75; 0.096473194; 2.7188841145847
44.79; 0.099472964; 2.9214024836173
46.83; 0.10208037; 3.1292293042275
48.86; 0.10421169; 3.3413953048256
50.90; 0.10581481; 3.556825133665
52.93; 0.10688235; 3.7744283810051
54.97; 0.10745738; 3.9932023341184
57.01; 0.10762981; 4.2123273388664
59.04; 0.10752372; 4.4312363611321
61.08; 0.10727827; 4.6496456566212
63.11; 0.1070262; 4.8675417726967
65.15; 0.10687457; 5.0851291818793
67.19; 0.10689123; 5.3027505010074
69.22; 0.10709953; 5.5207959041009
71.26; 0.10748166; 5.7396192854646
73.29; 0.10798928; 5.9594761322745
75.33; 0.10855893; 6.1804927489222
77.36; 0.10912884; 6.402669658431
79.40; 0.10965366; 6.6259150460908
81.44; 0.11011432; 6.8500982974309
83.47; 0.11052128; 7.0751100803737
85.51; 0.11091071; 7.3009147223733
87.54; 0.11133492; 7.5275830208012
89.58; 0.11184936; 7.7552986678917
91.62; 0.11249958; 7.9843381123104
93.65; 0.11331141; 8.2150303733484
95.69; 0.11428676; 8.4477083571703
97.72; 0.11540607; 8.6826651642573
99.76; 0.11663651; 8.9201270337022
101.80; 0.11794325; 9.1602493125425
103.83; 0.11930039; 9.4031346135631
105.87; 0.12069799; 9.6488653138212
107.90; 0.12214305; 9.8975380181386
109.94; 0.12365414; 10.149287166509
111.98; 0.12525175; 10.404288922043
114.01; 0.12694779; 10.662743662394
116.05; 0.12873816; 10.924843446418
118.08; 0.13060156; 11.190736941096
120.12; 0.13250526; 11.460506214738
122.15; 0.13441652; 11.734166653603
124.19; 0.13631583; 12.011693920799
126.23; 0.13820764; 12.293072739032
128.26; 0.14012465; 12.578354431851
130.30; 0.14212384; 12.86770630219
132.33; 0.14427483; 13.161437410494
134.37; 0.14664386; 13.459991658394
136.41; 0.1492777; 13.763908172334
138.44; 0.15219195; 14.073757845439
140.48; 0.15536657; 14.390070777868
142.51; 0.1587493; 14.713270654537
144.55; 0.16226532; 15.043628841071
146.59; 0.16583013; 15.381244669985
148.62; 0.16936213; 15.726051343436
150.66; 0.17279219; 16.077841322478
152.69; 0.17606889; 16.436302385444
154.73; 0.17915962; 16.801055908336
156.77; 0.18204877; 17.171691496004
158.80; 0.18473475; 17.547795499546
160.84; 0.1872272; 17.928973913043
162.87; 0.18954536; 18.314871909961
164.91; 0.19171778; 18.705192763047
166.94; 0.1937831; 19.099718435658
168.98; 0.19579156; 19.498333159098
171.02; 0.19780646; 19.901050030655
173.05; 0.19990484; 20.308039029138
175.09; 0.2021764; 20.719652739856
177.12; 0.20471935; 21.136443668175
179.16; 0.20763222; 21.55916495818
181.20; 0.21100146; 21.988745724168
183.23; 0.21488558; 22.426234209719
185.27; 0.2192986; 22.872707237352
187.30; 0.22419674; 23.329152452548
189.34; 0.22947266; 23.79633898034
191.38; 0.23496116; 24.274699630633
193.41; 0.24045776; 24.764250883112
195.45; 0.24574848; 25.264573587269
197.48; 0.25064608; 25.774867374678
199.52; 0.25502536; 26.294076994117
201.56; 0.25884969; 26.821072622783
203.59; 0.26218215; 27.35485286048
205.63; 0.26517791; 27.894732202145
207.66; 0.26805855; 28.440476273637
209.70; 0.27107312; 28.992357760275
211.74; 0.27445353; 29.551121460533
213.77; 0.27837291; 30.117864678585
215.81; 0.2829151; 30.693855414311
217.84; 0.28806083; 31.280322401815
219.88; 0.29369305; 31.878256104522
221.91; 0.29962056; 32.48825771586
223.95; 0.30561551; 33.110464524734
225.99; 0.31145791; 33.744565957127
228.02; 0.31697866; 34.389907142784
230.06; 0.32209199; 35.045658646523
232.09; 0.32680993; 35.711015457853
234.13; 0.331234; 36.385379288798
236.17; 0.33552494; 37.068479112702
238.20; 0.33985641; 37.760397425897
240.24; 0.34436396; 38.461492720102
242.27; 0.34910351; 39.172237346583
244.31; 0.35403232; 39.893016604316
246.35; 0.35902022; 40.62395077784
248.38; 0.36389038; 41.364800191866
250.42; 0.36847925; 42.11499213572
252.45; 0.37269754; 42.873772169995
254.49; 0.37657247; 43.640441221054
256.53; 0.38025494; 44.4146074525
258.56; 0.38398624; 45.196370288996
260.60; 0.38803171; 45.986369371129
262.63; 0.39260095; 46.785671019231
264.67; 0.39778036; 47.595517511918
266.70; 0.40350215; 48.417013056673
268.74; 0.40956282; 49.250847616265
270.78; 0.41568905; 50.097154644284
272.81; 0.42163178; 50.955560551784
274.85; 0.42725901; 51.825423025311
276.88; 0.43261568; 52.706191213442
278.92; 0.43792795; 53.597774722578
280.96; 0.4435464; 54.500796912488
282.99; 0.44984232; 55.416637057481
285.03; 0.45708774; 56.347228244916
287.06; 0.46535692; 57.294654770958
289.10; 0.47448238; 58.260659954479
291.14; 0.48408268; 59.246210512433
293.17; 0.49365729; 60.251254140793
295.21; 0.50272255; 61.274753864431
297.24; 0.51094866; 62.315001244433
299.28; 0.51825588; 63.370125485256
301.32; 0.52483962; 64.438653662436
303.35; 0.53111546; 65.519958908088
305.39; 0.53759963; 66.6144653599
307.42; 0.54476111; 67.723551972182
309.46; 0.55289054; 68.849189387551
311.49; 0.56202605; 69.993425916407
313.53; 0.57195847; 71.157883995586
315.57; 0.58231275; 72.343422506017
317.60; 0.59267852; 73.550064818914
319.64; 0.60274688; 74.77720545038
321.67; 0.61240941; 76.0240181562
323.71; 0.62178782; 77.289924499088
325.75; 0.63118598; 78.574964678696
327.78; 0.64098079; 79.879946257237
329.82; 0.65148763; 81.206318847258
331.85; 0.66284256; 82.555809088722
333.89; 0.67493684; 83.92992224247
335.93; 0.68742137; 85.329452834897
337.96; 0.69977718; 86.754138788746
340.00; 0.71142969; 88.202548228584
342.03; 0.7218751; 89.672223628963
344.07; 0.73078833; 91.160045598459
346.11; 0.73809101; 92.662735195397
348.14; 0.7439712; 94.177396358538
350.18; 0.74885758; 95.702005762845
352.21; 0.75335762; 97.235776862176
354.25; 0.75817138; 98.779348355123
356.28; 0.7639917; 100.33476951688
358.32; 0.77140145; 101.90527629236
360.36; 0.7807798; 103.49487659017
362.39; 0.79223237; 105.10779332285
364.43; 0.8055612; 106.74784640181
366.46; 0.8202874; 108.41788075554
368.50; 0.83572959; 110.11935406506
370.54; 0.85112737; 111.85217593739
372.57; 0.86578495; 113.61483936726
374.61; 0.87920108; 115.40481689283
376.64; 0.89115329; 117.21912807592
378.68; 0.90171582; 119.0549436542
380.72; 0.9112104; 120.91008938233
382.75; 0.92010798; 122.78334981842
384.79; 0.92891229; 124.67453507724
386.82; 0.93805726; 126.5843386969
388.86; 0.94784024; 128.51405961413
390.90; 0.95839697; 130.46527314062
392.93; 0.969709; 132.4395169721
394.97; 0.98162646; 134.43802373176
397.00; 0.99389169; 136.46150142976
399.04; 1.0061581; 138.50995249622
401.07; 1.0180101; 140.58253328156
403.11; 1.028995; 142.67747831659
405.15; 1.0386741; 144.79212905292
407.18; 1.0466902; 146.92309987268
409.22; 1.0528351; 149.06658128388
411.25; 1.0570937; 151.21873291325
413.29; 1.0596453; 153.37607919599
415.33; 1.0608167; 155.53581045503
417.36; 1.0610033; 157.69592150734
419.40; 1.0605848; 159.85518060925
421.43; 1.0598719; 162.01298842285
423.47; 1.059102; 164.16922864943
425.51; 1.0584819; 166.3242065414
427.54; 1.0582522; 168.47871676388
429.58; 1.0587301; 170.63419988053
431.61; 1.0602978; 172.79287472743
433.65; 1.0633233; 174.95770926047
435.69; 1.0680339; 177.1321341307
437.72; 1.0743909; 179.31950131984
439.76; 1.0820233; 181.52240734812
441.79; 1.0902619; 183.74208643196
443.83; 1.0982808; 185.97809140112
445.87; 1.1053088; 188.22840479005
447.90; 1.110841; 190.48998126824
449.94; 1.1147751; 192.75956713673
451.97; 1.1174183; 195.03453442415
454.01; 1.1193587; 197.31345210392
456.04; 1.1212428; 199.59620563776
458.08; 1.1235408; 201.88363765905
460.12; 1.126383; 204.17685628759
462.15; 1.1295273; 206.4764764067
464.19; 1.1324649; 208.78207730822
466.22; 1.1346227; 211.09207123845
468.26; 1.1355817; 213.40401765434
470.30; 1.1352315; 215.7152509651
472.33; 1.133805; 218.02358013844
474.37; 1.13179; 220.32780684596
476.40; 1.1297569; 222.62789437642
478.44; 1.1281758; 224.92476295183
480.48; 1.1272898; 227.21982762372
482.51; 1.1270856; 229.51447659407
484.55; 1.1273591; 231.80968241297
486.58; 1.1278345; 234.10585613488
488.62; 1.1282802; 236.40293715479
490.66; 1.1285724; 238.70061309227
492.69; 1.128689; 240.99852642162
494.73; 1.1286493; 243.29635902203
496.76; 1.1284422; 245.59377000815
498.80; 1.1279857; 247.89025159303
500.83; 1.127143; 250.18501737376
502.87; 1.1257873; 252.47702323162
504.91; 1.1238825; 254.76515098654
506.94; 1.1215328; 257.04849499341
